Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR12778135,2020-10-06 06:16:12,2020-10-06 06:14:05,451721,226486142,0,501,198,,https://sra-download.ncbi.nlm.nih.gov/traces/sra13/SRR/012478/SRR12778135,SRX9247725,Malta/Sliema_1/2020,AMPLICON,other,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP286479,PRJNA667434,,667434,SRS7480303,SAMN16366496,simple,2697049,Severe acute respiratory syndrome coronavirus 2,Malta/Sliema_1/2020,,,,,,,no,,,,,THE BIO ARTE LIMITED,SRA1138991,,public,C058E2759FD6D6D2639E1020CB7CCCF8,1B681B4882DDB02F6BAAC6F830FCA0A6
SRR12789611,2020-10-07 14:51:36,2020-10-07 14:48:51,184540,82063012,0,444,72,,https://sra-download.ncbi.nlm.nih.gov/traces/sra77/SRR/012489/SRR12789611,SRX9258781,Malta/Sliema_10/2020,AMPLICON,other,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP286479,PRJNA667434,,667434,SRS7489905,SAMN16366602,simple,2697049,Severe acute respiratory syndrome coronavirus 2,Malta/Sliema_10/2020,,,,,,,no,,,,,THE BIO ARTE LIMITED,SRA1139962,,public,F1D691AA1C609A49277C1BC65060B8ED,2EE2FA0FA28CF6254386479AD5A1C8E7
SRR12778134,2020-10-06 06:16:12,2020-10-06 06:14:08,381291,191250192,0,501,167,,https://sra-download.ncbi.nlm.nih.gov/traces/sra40/SRR/012478/SRR12778134,SRX9247726,Malta/Sliema_2/2020,AMPLICON,other,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP286479,PRJNA667434,,667434,SRS7480304,SAMN16366482,simple,2697049,Severe acute respiratory syndrome coronavirus 2,Malta/Sliema_2/2020,,,,,,,no,,,,,THE BIO ARTE LIMITED,SRA1138991,,public,BFD7FF9B898D8D03E9B6F32C50D27700,7BB9CC89A0F537DB5010733E31A84717
SRR12778133,2020-10-06 06:16:12,2020-10-06 06:13:59,178878,88771825,0,496,77,,https://sra-download.ncbi.nlm.nih.gov/traces/sra60/SRR/012478/SRR12778133,SRX9247727,Malta/Sliema_3/2020,AMPLICON,other,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP286479,PRJNA667434,,667434,SRS7480305,SAMN16366512,simple,2697049,Severe acute respiratory syndrome coronavirus 2,Malta/Sliema_3/2020,,,,,,,no,,,,,THE BIO ARTE LIMITED,SRA1138991,,public,AFF5030D921AD313C5D649AC1AFD2DBB,6EE9D624404A2A59F6FC7FECFFA1DB3A
SRR12778132,2020-10-06 06:16:12,2020-10-06 06:14:05,387947,193985656,0,500,169,,https://sra-download.ncbi.nlm.nih.gov/traces/sra56/SRR/012478/SRR12778132,SRX9247728,Malta/Sliema_4/2020,AMPLICON,other,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP286479,PRJNA667434,,667434,SRS7480306,SAMN16366513,simple,2697049,Severe acute respiratory syndrome coronavirus 2,Malta/Sliema_4/2020,,,,,,,no,,,,,THE BIO ARTE LIMITED,SRA1138991,,public,C4F13178426687214C9F1FBEFA5FCED5,67CC8BB2FC8C9DAFA641499214EBAA67
SRR12778131,2020-10-06 06:16:12,2020-10-06 06:13:59,468322,234392698,0,500,204,,https://sra-download.ncbi.nlm.nih.gov/traces/sra57/SRR/012478/SRR12778131,SRX9247729,Malta/Sliema_5/2020,AMPLICON,other,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP286479,PRJNA667434,,667434,SRS7480307,SAMN16366530,simple,2697049,Severe acute respiratory syndrome coronavirus 2,Malta/Sliema_5/2020,,,,,,,no,,,,,THE BIO ARTE LIMITED,SRA1138991,,public,68DB04A9DFD2B6CA39F35B3F7DB44D60,08212DB9EA96E5CB86491B73B741647E
SRR12789615,2020-10-07 14:50:13,2020-10-07 14:48:59,146139,83793316,0,573,73,,https://sra-download.ncbi.nlm.nih.gov/traces/sra9/SRR/012489/SRR12789615,SRX9258777,Malta/Sliema_6/2020,AMPLICON,other,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP286479,PRJNA667434,,667434,SRS7489901,SAMN16366542,simple,2697049,Severe acute respiratory syndrome coronavirus 2,Malta/Sliema_6/2020,,,,,,,no,,,,,THE BIO ARTE LIMITED,SRA1139962,,public,FAAE5308C3E74825ADC5F752A9623DC0,44C66492C162EDC3D209BB606DED7769
SRR12789614,2020-10-07 14:51:36,2020-10-07 14:48:58,199902,95802472,0,479,84,,https://sra-download.ncbi.nlm.nih.gov/traces/sra0/SRR/012489/SRR12789614,SRX9258778,Malta/Sliema_7/2020,AMPLICON,other,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP286479,PRJNA667434,,667434,SRS7489902,SAMN16366543,simple,2697049,Severe acute respiratory syndrome coronavirus 2,Malta/Sliema_7/2020,,,,,,,no,,,,,THE BIO ARTE LIMITED,SRA1139962,,public,F408D00F5CF645A675A7C9940A20110B,F1992724222273EE3BEBCB6F4B232D98
SRR12789613,2020-10-07 14:50:13,2020-10-07 14:48:55,73135,39549713,0,540,34,,https://sra-download.ncbi.nlm.nih.gov/traces/sra62/SRR/012489/SRR12789613,SRX9258779,Malta/Sliema_8/2020,AMPLICON,other,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP286479,PRJNA667434,,667434,SRS7489903,SAMN16366570,simple,2697049,Severe acute respiratory syndrome coronavirus 2,Malta/Sliema_8/2020,,,,,,,no,,,,,THE BIO ARTE LIMITED,SRA1139962,,public,5644C766250F2B0C2AEABB07DF82E45F,B5E1D191D340D265BE0E67140DCF1988
SRR12789612,2020-10-07 14:51:36,2020-10-07 14:48:57,173524,94412843,0,544,83,,https://sra-download.ncbi.nlm.nih.gov/traces/sra45/SRR/012489/SRR12789612,SRX9258780,Malta/Sliema_9/2020,AMPLICON,other,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP286479,PRJNA667434,,667434,SRS7489904,SAMN16366588,simple,2697049,Severe acute respiratory syndrome coronavirus 2,Malta/Sliema_9/2020,,,,,,,no,,,,,THE BIO ARTE LIMITED,SRA1139962,,public,6E781174E2F47BE145D0C357C339BA2C,48363E003C5ABA69164291C2BE63707C

