Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR4805999,2020-11-09 20:54:02,2020-12-22 09:16:06,239312,235920110,0,985,202,,https://sra-download.ncbi.nlm.nih.gov/traces/era23/ERR/ERR4805/ERR4805999,ERX4675562,hCoV-19/DK/DCGC-2934/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS5294872,SAMEA7538415,simple,2697049,Severe acute respiratory syndrome coronavirus 2,SAMEA7538415,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA3067801,,public,CFA2B63BA79E3AEDCDC078CBD53AA58C,A29305FECCFADBE96C56701A72F9FF77
ERR4806000,2020-11-09 20:54:02,2020-12-22 09:16:03,228884,227681485,0,994,195,,https://sra-download.ncbi.nlm.nih.gov/traces/era20/ERR/ERR4806/ERR4806000,ERX4675563,hCoV-19/DK/DCGC-2965/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS5294873,SAMEA7538416,simple,2697049,Severe acute respiratory syndrome coronavirus 2,SAMEA7538416,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA3067802,,public,27E4A8F6103CF1F90AFE6F59814795F6,708A04794B584B69D0C0C38B2D3F4A75
ERR4806001,2020-11-09 20:54:02,2020-12-22 09:15:59,80940,79885341,0,986,68,,https://sra-download.ncbi.nlm.nih.gov/traces/era23/ERR/ERR4806/ERR4806001,ERX4675564,hCoV-19/DK/DCGC-3024/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS5294874,SAMEA7538417,simple,2697049,Severe acute respiratory syndrome coronavirus 2,SAMEA7538417,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA3067803,,public,FBDEF641336091D67E9C650C51DDC87D,075619F3D38BBD95691AC965CBD838DA
ERR4806002,2020-11-09 20:54:02,2020-12-22 09:15:51,87392,89010606,0,1018,76,,https://sra-download.ncbi.nlm.nih.gov/traces/era20/ERR/ERR4806/ERR4806002,ERX4675565,hCoV-19/DK/DCGC-3152/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS5294875,SAMEA7538418,simple,2697049,Severe acute respiratory syndrome coronavirus 2,SAMEA7538418,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA3067804,,public,0BA2FFC48B11C17E9257EFFD63BDEFCE,7D3853051FD6B2EA97865EE51ACD4ECD
ERR4806003,2020-11-09 20:54:02,2020-12-22 09:15:41,61776,59884366,0,969,51,,https://sra-download.ncbi.nlm.nih.gov/traces/era23/ERR/ERR4806/ERR4806003,ERX4675566,hCoV-19/DK/DCGC-3542/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS5294876,SAMEA7538419,simple,2697049,Severe acute respiratory syndrome coronavirus 2,SAMEA7538419,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA3067805,,public,8ED52B5573AE55CC6CD7BC1325843BFD,95D7B2C9659BD8A75C58A7D7AFF7C28F
ERR4806004,2020-11-09 20:54:02,2020-12-22 09:15:53,50192,48652078,0,969,41,,https://sra-download.ncbi.nlm.nih.gov/traces/era23/ERR/ERR4806/ERR4806004,ERX4675567,hCoV-19/DK/DCGC-3631/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS5294877,SAMEA7538420,simple,2697049,Severe acute respiratory syndrome coronavirus 2,SAMEA7538420,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA3067806,,public,2FE77D4391A822777B72801C9BD31F01,B45DD39B413B4DACB0998C335B54CC10
ERR4806005,2020-11-09 20:54:03,2020-12-22 09:15:40,38641,38272104,0,990,32,,https://sra-download.ncbi.nlm.nih.gov/traces/era23/ERR/ERR4806/ERR4806005,ERX4675568,hCoV-19/DK/DCGC-4306/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS5294878,SAMEA7538421,simple,2697049,Severe acute respiratory syndrome coronavirus 2,SAMEA7538421,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA3067807,,public,18A9DFE29D7A0E6481C468379BAAF56A,C1DA9DCDADB9B5FE46D453014BAE3ACE
ERR4176336,2020-05-27 15:07:53,2020-05-27 18:23:19,67730,68832928,0,1016,60,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176336,ERX4139760,hCoV-19/DK/ALAB-HH-130/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583194,SAMEA6855607,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-130/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647202,,public,636F1EAFBAFF3183C3CEA983E899542B,94EFBBE63A6C09EA55C25C2FD09F02F1
ERR4176337,2020-05-27 15:07:53,2020-05-27 18:24:10,207170,210509567,0,1016,185,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176337,ERX4139761,hCoV-19/DK/ALAB-HH-131/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583195,SAMEA6855608,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-131/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647203,,public,30D0D172FFE2938938248E502771BADC,EF386C02F5DA59628DB3887DB310D022
ERR4176338,2020-05-27 15:07:53,2020-05-27 21:17:47,233265,238929306,0,1024,214,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176338,ERX4139762,hCoV-19/DK/ALAB-HH-134/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583196,SAMEA6855609,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-134/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647204,,public,EC2A235BACFE624998CC3F0E373A7CE2,74D888E9716FFA0603C07C60B2708BFA
ERR4176339,2020-05-27 15:07:53,2020-05-27 18:23:34,190832,192124688,0,1006,169,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176339,ERX4139763,hCoV-19/DK/ALAB-HH-135/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583197,SAMEA6855610,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-135/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647205,,public,F40D0227C731087447CCBCE138869E0D,5BA9CB3C6091DF427E0D708B78007D36
ERR4176340,2020-05-27 15:07:53,2020-05-27 18:23:10,138671,138884929,0,1001,122,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176340,ERX4139764,hCoV-19/DK/ALAB-HH-136/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583198,SAMEA6855611,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-136/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647206,,public,14F18C394D0EA0C773CC76ED9FFFEDC0,CFB3CE1333E0A8E5B35CDB550D0C2D8D
ERR4176341,2020-05-27 15:07:53,2020-05-27 18:24:03,145934,145679362,0,998,128,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176341,ERX4139765,hCoV-19/DK/ALAB-HH-137/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583199,SAMEA6855612,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-137/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647207,,public,50E4E87016447C0D84411CEE1BD5AD22,EB399213A9B334B0259183AA634800FC
ERR4176342,2020-05-27 15:07:53,2020-05-27 18:23:25,202082,204360342,0,1011,179,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176342,ERX4139766,hCoV-19/DK/ALAB-HH-138/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583200,SAMEA6855613,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-138/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647208,,public,3577A9DC241E55EA218D67B29ECD62CB,74E953524DEF00D5D37B332FE96E437D
ERR4176343,2020-05-27 15:07:53,2020-05-27 18:23:15,206805,210062401,0,1015,184,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176343,ERX4139767,hCoV-19/DK/ALAB-HH-139/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583201,SAMEA6855614,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-139/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647209,,public,93715DCB3DF96B14948465BE9694F481,A052771CA7944B9086BA7AB6EA76DE8A
ERR4176344,2020-05-27 15:07:53,2020-05-27 21:17:49,126332,126033437,0,997,113,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176344,ERX4139768,hCoV-19/DK/ALAB-HH-140/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583202,SAMEA6855615,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-140/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647210,,public,6120C5124E1370A88F9F423761ABDFF4,0068A4F9571DEDF337256FF1FCDF9CCB
ERR4176345,2020-05-27 15:07:53,2020-05-27 18:23:41,249071,252429559,0,1013,222,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176345,ERX4139769,hCoV-19/DK/ALAB-HH-141/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583203,SAMEA6855616,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-141/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647211,,public,69FB85D21325E453FB2154893CDBACC4,31E66DD6471B3D3B25B7B0F844DF9F4F
ERR4176346,2020-05-27 15:07:53,2020-05-27 18:23:24,174081,175495705,0,1008,154,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176346,ERX4139770,hCoV-19/DK/ALAB-HH-142/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583204,SAMEA6855617,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-142/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647212,,public,26D3B962CDE67AC178C13917C4350100,860110CD996043E2D057DDFB2303EFFD
ERR4176347,2020-05-27 15:07:53,2020-05-27 18:23:52,193616,195528143,0,1009,172,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176347,ERX4139771,hCoV-19/DK/ALAB-HH-143/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583205,SAMEA6855618,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-143/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647213,,public,EC628D07AC85170B946CE524E273EB91,71C2FDDDBDE13EF6C49C49E6E89C9D16
ERR4176348,2020-05-27 15:07:53,2020-05-27 18:23:24,218904,221179206,0,1010,194,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176348,ERX4139772,hCoV-19/DK/ALAB-HH-144/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583206,SAMEA6855619,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-144/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647214,,public,1FCF130D53E89D979EB3057F9F091805,7231923671B91DA1EA7B2E935A588117
ERR4176349,2020-05-27 15:07:53,2020-05-27 18:23:22,165249,167177342,0,1011,147,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176349,ERX4139773,hCoV-19/DK/ALAB-HH-145/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583207,SAMEA6855620,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-145/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647215,,public,7F2EF06E560D797CB5561063BDAA51CF,50FE400E5122F69544302EF5851D0A51
ERR4176353,2020-05-27 15:07:53,2020-05-27 18:23:29,186221,179325300,0,962,157,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176353,ERX4139777,hCoV-19/DK/ALAB-HH-148/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583208,SAMEA6855621,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-148/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647219,,public,27FA01D0754EF4970803BDEC88C79587,442B27BAAC5E1DB3F1F267A9FFFCEB7F
ERR4176355,2020-05-27 15:07:53,2020-05-27 18:23:53,217405,220878990,0,1015,194,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176355,ERX4139779,hCoV-19/DK/ALAB-HH-150/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583209,SAMEA6855622,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-150/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647221,,public,E94EE0C6D60FF016EA77778A47DFE319,7EC459B2BD7B567781C473DCA6A74EB7
ERR4176356,2020-05-27 15:07:53,2020-05-27 18:23:33,198935,204216061,0,1026,179,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176356,ERX4139780,hCoV-19/DK/ALAB-HH-151/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583210,SAMEA6855623,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-151/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647222,,public,EDA2B1E6630546F3E139E07CE286EF76,72122C9186F63268B403DF95BD4449F7
ERR4176357,2020-05-27 15:07:53,2020-05-27 18:23:45,145851,147639203,0,1012,130,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176357,ERX4139781,hCoV-19/DK/ALAB-HH-153/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583211,SAMEA6855624,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-153/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647223,,public,E050B1EDBFE6292B377CCD7C8722CD36,2FAFBB770AD49A28B3F9CFA8373B7062
ERR4176358,2020-05-27 15:07:53,2020-05-27 18:23:47,156409,157040662,0,1004,138,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176358,ERX4139782,hCoV-19/DK/ALAB-HH-154/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583212,SAMEA6855625,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-154/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647225,,public,FCB9A1E604D87E72B3DAB849EA932450,1747B532C15B7EBD7F14E624C1EE1EAE
ERR4176359,2020-05-27 15:07:53,2020-05-27 18:23:48,170005,173342268,0,1019,152,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176359,ERX4139783,hCoV-19/DK/ALAB-HH-155/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583213,SAMEA6855626,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-155/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647226,,public,2CC7DE1EA482E2985788F49F77F57FC9,5A037DB6698D80AE7A9165AE92D05C7A
ERR4176360,2020-05-27 15:07:53,2020-05-27 18:23:52,192365,196211224,0,1019,172,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176360,ERX4139784,hCoV-19/DK/ALAB-HH-156/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583214,SAMEA6855627,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-156/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647228,,public,BBA65B34FC74C4C61F2E2ABB1F8C365B,766847BD33615FAE81735AEC6DE55F89
ERR4176361,2020-05-27 15:07:53,2020-05-27 18:23:58,239865,245821215,0,1024,216,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176361,ERX4139785,hCoV-19/DK/ALAB-HH-157/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583215,SAMEA6855628,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-157/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647229,,public,8BD5F995A02C3EBE4444E2D3270839B1,792DDA10B623082098CFAFB422C2F2BE
ERR4176362,2020-05-27 15:07:53,2020-05-27 18:23:37,197231,201148794,0,1019,177,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176362,ERX4139786,hCoV-19/DK/ALAB-HH-158/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583216,SAMEA6855629,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-158/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647230,,public,EB993416DF110ABFA57ABC6C2DA71A5A,918487E5312081ACCF35325F2807C313
ERR4176363,2020-05-27 15:07:53,2020-05-27 18:23:48,136118,135706644,0,996,119,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176363,ERX4139787,hCoV-19/DK/ALAB-HH-159/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583217,SAMEA6855630,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-159/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647231,,public,27B1188AC5BE69A75303CDB9D2095DBD,BC285F91C5A11640313790D191777341
ERR4176364,2020-05-27 15:07:53,2020-05-27 18:23:38,40500,40898616,0,1009,35,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176364,ERX4139788,hCoV-19/DK/ALAB-HH-163/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583218,SAMEA6855631,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-163/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647232,,public,3A2B8F5CDB6EC7643E1D389EA1294610,8090744753F8515432F4BAD5B8A7DA94
ERR4176365,2020-05-27 15:07:53,2020-05-27 18:23:37,37423,38494186,0,1028,33,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176365,ERX4139789,hCoV-19/DK/ALAB-HH-165/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583219,SAMEA6855632,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-165/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647233,,public,1A436BE6CE312179FDDE835476AD90F5,16F6F020BCA00220906AE42DF49D727C
ERR4176366,2020-05-27 15:07:53,2020-05-27 18:23:33,48217,48627354,0,1008,41,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176366,ERX4139790,hCoV-19/DK/ALAB-HH-167/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583220,SAMEA6855633,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-167/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647234,,public,EE10785511A65B3AD6A0C2472D0D8DE2,1892B72DB79D9537E1DC2985B2418FE2
ERR4176367,2020-05-27 15:07:53,2020-05-27 18:23:41,63525,64165821,0,1010,55,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176367,ERX4139791,hCoV-19/DK/ALAB-HH-168/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583221,SAMEA6855634,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-168/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647235,,public,BC9FCA1EFD2AA77B18A985CD0E073DE8,2AD1ADB7BB47F87F310CBB7CD68D8002
ERR4176368,2020-05-27 15:07:54,2020-05-27 18:23:54,264440,267745881,0,1012,230,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176368,ERX4139792,hCoV-19/DK/ALAB-HH-169/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583222,SAMEA6855635,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-169/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647236,,public,0BE760C940D8CBBFE86590DB8698D459,0F9E6747A93181C9EEA467423E2F1DA7
ERR4176369,2020-05-27 15:07:54,2020-05-27 21:17:59,61919,61555958,0,994,54,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4176/ERR4176369,ERX4139793,hCoV-19/DK/ALAB-HH-170/2020,AMPLICON,PCR,VIRAL RNA,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP121327,PRJEB37966,,629268,ERS4583223,SAMEA6855636,simple,2697049,Severe acute respiratory syndrome coronavirus 2,hCoV-19/DK/ALAB-HH-170/2020,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2647237,,public,506160CB2645F07E69EC595D60C67034,0715C31FEAD35C6959832AEC66161A66
